,occurtime,power
248,2020-12-10 20:50:00,127.76
249,2020-12-10 20:55:00,126.24
250,2020-12-10 21:00:00,124.96
251,2020-12-10 21:05:00,122.88
252,2020-12-10 21:10:00,0.0
253,2020-12-10 21:15:00,0.0
254,2020-12-10 21:20:00,0.0
255,2020-12-10 21:25:00,0.0
256,2020-12-10 21:30:00,128.96
257,2020-12-10 21:35:00,125.52
258,2020-12-10 21:40:00,123.52
259,2020-12-10 21:45:00,122.88
260,2020-12-10 21:50:00,0.0
261,2020-12-10 21:55:00,0.0
262,2020-12-10 22:00:00,0.0
263,2020-12-10 22:05:00,136.08
264,2020-12-10 22:10:00,127.12
265,2020-12-10 22:15:00,120.32
266,2020-12-10 22:20:00,119.44
267,2020-12-10 22:25:00,119.6
268,2020-12-10 22:30:00,0.0
269,2020-12-10 22:35:00,0.0
270,2020-12-10 22:40:00,0.0
271,2020-12-10 22:45:00,0.0
272,2020-12-10 22:50:00,130.32
273,2020-12-10 22:55:00,126.16
274,2020-12-10 23:00:00,126.16
275,2020-12-10 23:05:00,122.24
276,2020-12-10 23:10:00,119.2
277,2020-12-10 23:15:00,116.88
278,2020-12-10 23:20:00,0.0
279,2020-12-10 23:25:00,0.0
280,2020-12-10 23:30:00,0.0
281,2020-12-10 23:35:00,0.0
282,2020-12-10 23:40:00,127.6
283,2020-12-10 23:45:00,120.24
284,2020-12-10 23:50:00,120.96
285,2020-12-10 23:55:00,120.4
286,2020-12-11 00:00:00,118.64
287,2020-12-11 00:05:00,0.0
288,2020-12-11 00:10:00,0.0
289,2020-12-11 00:15:00,0.0
290,2020-12-11 00:20:00,0.0
291,2020-12-11 00:25:00,125.92
292,2020-12-11 00:30:00,121.6
293,2020-12-11 00:35:00,121.2
294,2020-12-11 00:40:00,119.76
295,2020-12-11 00:45:00,118.88
296,2020-12-11 00:50:00,0.0
297,2020-12-11 00:55:00,0.0
298,2020-12-11 01:00:00,0.0
299,2020-12-11 01:05:00,152.4
300,2020-12-11 01:10:00,125.44
301,2020-12-11 01:15:00,122.24
302,2020-12-11 01:20:00,121.12
303,2020-12-11 01:25:00,120.96
304,2020-12-11 01:30:00,0.0
305,2020-12-11 01:35:00,0.0
306,2020-12-11 01:40:00,0.0
307,2020-12-11 01:45:00,0.0
308,2020-12-11 01:50:00,127.68
309,2020-12-11 01:55:00,124.24
310,2020-12-11 02:00:00,173.52
311,2020-12-11 02:05:00,175.6
312,2020-12-11 02:10:00,175.04
313,2020-12-11 02:15:00,172.88
314,2020-12-11 02:20:00,172.72
315,2020-12-11 02:25:00,168.24
316,2020-12-11 02:30:00,1.05
317,2020-12-11 02:35:00,147.28
318,2020-12-11 02:40:00,150.56
319,2020-12-11 02:50:00,144.96
320,2020-12-11 02:55:00,139.6
321,2020-12-11 03:00:00,134.64
322,2020-12-11 03:05:00,130.56
323,2020-12-11 03:10:00,130.16
324,2020-12-11 03:15:00,128.48
325,2020-12-11 03:20:00,127.04
326,2020-12-11 03:25:00,126.48
327,2020-12-11 03:30:00,123.92
328,2020-12-11 03:35:00,124.0
329,2020-12-11 03:40:00,122.24
330,2020-12-11 03:45:00,122.88
331,2020-12-11 03:50:00,120.56
332,2020-12-11 03:55:00,121.28
333,2020-12-11 04:00:00,0.0
334,2020-12-11 04:05:00,0.0
335,2020-12-11 04:10:00,0.0
336,2020-12-11 04:15:00,0.0
337,2020-12-11 04:20:00,129.52
338,2020-12-11 04:25:00,125.28
339,2020-12-11 04:30:00,123.28
340,2020-12-11 04:35:00,120.64
341,2020-12-11 04:40:00,119.44
342,2020-12-11 04:45:00,0.0
343,2020-12-11 04:50:00,0.0
344,2020-12-11 04:55:00,0.0
345,2020-12-11 05:00:00,0.0
346,2020-12-11 05:05:00,128.72
347,2020-12-11 05:10:00,125.36
348,2020-12-11 05:15:00,123.44
349,2020-12-11 05:20:00,122.4
350,2020-12-11 05:25:00,0.0
351,2020-12-11 05:30:00,0.0
352,2020-12-11 05:35:00,0.0
353,2020-12-11 05:40:00,0.0
354,2020-12-11 05:45:00,128.4
355,2020-12-11 05:50:00,125.6
356,2020-12-11 05:55:00,124.96
357,2020-12-11 06:00:00,120.56
358,2020-12-11 06:05:00,120.64
359,2020-12-11 06:15:00,0.0
360,2020-12-11 06:20:00,0.0
361,2020-12-11 06:25:00,129.04
362,2020-12-11 06:30:00,123.84
363,2020-12-11 06:35:00,120.8
364,2020-12-11 06:40:00,119.76
365,2020-12-11 06:45:00,0.0
366,2020-12-11 06:50:00,0.0
367,2020-12-11 06:55:00,0.0
368,2020-12-11 07:00:00,0.0
369,2020-12-11 07:05:00,123.92
370,2020-12-11 07:10:00,120.4
371,2020-12-11 07:15:00,118.48
372,2020-12-11 07:20:00,0.0
373,2020-12-11 07:25:00,0.0
374,2020-12-11 07:30:00,0.0
375,2020-12-11 07:35:00,0.0
376,2020-12-11 07:40:00,127.04
377,2020-12-11 07:45:00,122.08
378,2020-12-11 07:50:00,119.04
379,2020-12-11 07:55:00,117.04
380,2020-12-11 08:05:00,0.0
381,2020-12-11 08:10:00,0.0
382,2020-12-11 08:15:00,127.12
383,2020-12-11 08:20:00,122.64
384,2020-12-11 12:20:00,132.56
385,2020-12-11 12:25:00,128.56
386,2020-12-11 12:30:00,125.28
387,2020-12-11 12:35:00,0.0
388,2020-12-11 12:40:00,0.0
389,2020-12-11 12:45:00,0.0
390,2020-12-11 12:50:00,0.0
391,2020-12-11 12:55:00,134.16
392,2020-12-11 13:00:00,129.2
393,2020-12-11 13:05:00,127.92
394,2020-12-11 13:10:00,0.0
395,2020-12-11 13:15:00,0.0
396,2020-12-11 13:20:00,0.0
397,2020-12-11 13:25:00,0.0
398,2020-12-11 13:30:00,132.56
399,2020-12-11 13:35:00,129.68
400,2020-12-11 13:40:00,125.68
401,2020-12-11 13:45:00,124.72
402,2020-12-11 13:50:00,0.0
403,2020-12-11 13:55:00,0.0
404,2020-12-11 14:00:00,0.0
405,2020-12-11 14:05:00,142.32
406,2020-12-11 14:10:00,130.0
407,2020-12-11 14:15:00,127.44
