occurtime,power
2020-12-29_06:10:00,0.0
2020-12-29_06:15:00,0.0
2020-12-29_06:20:00,0.0
2020-12-29_06:25:00,0.0
2020-12-29_06:30:00,0.0
2020-12-29_06:35:00,0.0
2020-12-29_06:40:00,101.52
2020-12-29_06:45:00,98.56
2020-12-29_06:50:00,96.24
2020-12-29_06:55:00,94.88
2020-12-29_07:00:00,94.64
2020-12-29_07:05:00,94.48
2020-12-29_07:10:00,93.84
2020-12-29_07:15:00,92.88
2020-12-29_07:20:00,92.08
2020-12-29_07:25:00,90.72
2020-12-29_07:30:00,91.28
2020-12-29_07:35:00,91.92
2020-12-29_07:40:00,91.84
2020-12-29_07:45:00,90.88
2020-12-29_07:50:00,90.4
2020-12-29_07:55:00,90.88
2020-12-29_08:00:00,91.04
2020-12-29_08:05:00,90.96
2020-12-29_08:10:00,91.36
2020-12-29_08:15:00,91.36
2020-12-29_08:20:00,90.64
2020-12-29_08:25:00,90.48
2020-12-29_08:30:00,0.0
2020-12-29_08:35:00,0.0
2020-12-29_08:40:00,0.0
2020-12-29_08:45:00,0.0
2020-12-29_08:50:00,0.0
2020-12-29_08:55:00,0.0
2020-12-29_09:00:00,102.96
2020-12-29_09:05:00,100.16
2020-12-29_09:10:00,98.08
2020-12-29_09:15:00,95.76
2020-12-29_09:20:00,94.0
2020-12-29_09:25:00,93.68
2020-12-29_09:30:00,93.68
2020-12-29_09:35:00,93.76
2020-12-29_09:40:00,93.12
2020-12-29_09:45:00,92.56
2020-12-29_09:50:00,92.4
2020-12-29_09:55:00,91.6
2020-12-29_10:00:00,92.4
2020-12-29_10:05:00,92.08
2020-12-29_10:10:00,92.32
2020-12-29_10:15:00,91.92
2020-12-29_10:20:00,92.24
2020-12-29_10:25:00,91.12
2020-12-29_10:30:00,91.28
2020-12-29_10:35:00,91.44
2020-12-29_10:40:00,0.0
2020-12-29_10:45:00,0.0
2020-12-29_10:50:00,0.0
2020-12-29_10:55:00,0.0
2020-12-29_11:00:00,0.0
2020-12-29_11:05:00,0.0
2020-12-29_11:10:00,103.92
2020-12-29_11:15:00,100.32
2020-12-29_11:20:00,98.32
2020-12-29_11:25:00,96.08
2020-12-29_11:30:00,94.72
2020-12-29_11:35:00,93.36
2020-12-29_11:40:00,92.48
2020-12-29_11:45:00,93.04
2020-12-29_11:50:00,92.64
2020-12-29_11:55:00,92.08
2020-12-29_12:00:00,91.92
2020-12-29_12:05:00,91.44
2020-12-29_12:10:00,90.08
2020-12-29_12:15:00,88.56
2020-12-29_12:20:00,89.6
2020-12-29_12:25:00,90.64
2020-12-29_12:30:00,91.52
2020-12-29_12:35:00,91.44
2020-12-29_12:40:00,91.28
2020-12-29_12:45:00,0.0
2020-12-29_12:50:00,0.0
2020-12-29_12:55:00,0.0
2020-12-29_13:00:00,0.0
2020-12-29_13:05:00,0.0
2020-12-29_13:10:00,0.0
2020-12-29_13:15:00,103.44
2020-12-29_13:20:00,99.6
2020-12-29_13:25:00,96.64
2020-12-29_13:30:00,94.72
2020-12-29_13:35:00,93.6
2020-12-29_13:40:00,92.96
2020-12-29_13:45:00,93.36
2020-12-29_13:50:00,92.4
2020-12-29_13:55:00,92.56
2020-12-29_14:00:00,92.08
2020-12-29_14:05:00,92.4
2020-12-29_14:10:00,92.16
2020-12-29_14:15:00,92.24
2020-12-29_14:20:00,91.36
2020-12-29_14:25:00,90.4
2020-12-29_14:30:00,90.32
2020-12-29_14:35:00,89.84
2020-12-29_14:40:00,0.0
2020-12-29_14:45:00,0.0
2020-12-29_14:50:00,0.0
2020-12-29_14:55:00,0.0
2020-12-29_15:00:00,0.0
2020-12-29_15:05:00,0.0
2020-12-29_15:10:00,103.68
2020-12-29_15:15:00,100.0
2020-12-29_15:20:00,98.4
2020-12-29_15:25:00,96.48
2020-12-29_15:30:00,95.2
2020-12-29_15:35:00,93.6
2020-12-29_15:40:00,92.56
2020-12-29_15:45:00,92.48
2020-12-29_15:50:00,92.32
2020-12-29_15:55:00,92.08
2020-12-29_16:10:00,91.12
2020-12-29_16:15:00,91.2
2020-12-29_16:20:00,91.2
2020-12-29_16:25:00,90.8
2020-12-29_16:30:00,0.0
2020-12-29_16:35:00,0.0
2020-12-29_16:40:00,0.0
2020-12-29_16:45:00,0.0
2020-12-29_16:50:00,0.0
2020-12-29_16:55:00,0.0
2020-12-29_17:00:00,103.04
2020-12-29_17:05:00,99.68
2020-12-29_17:10:00,97.2
2020-12-29_17:15:00,95.04
2020-12-29_17:20:00,93.92
2020-12-29_17:25:00,93.6
2020-12-29_17:30:00,93.2
2020-12-29_17:35:00,92.72
2020-12-29_17:40:00,92.16
2020-12-29_17:45:00,91.68
2020-12-29_17:50:00,91.84
2020-12-29_17:55:00,91.2
2020-12-29_18:00:00,90.8
2020-12-29_18:05:00,89.52
2020-12-29_18:10:00,89.04
2020-12-29_18:15:00,89.52
2020-12-29_18:20:00,89.76
2020-12-29_18:25:00,89.28
2020-12-29_18:30:00,0.0
2020-12-29_18:35:00,0.0
2020-12-29_18:40:00,0.0
2020-12-29_18:45:00,0.0
2020-12-29_18:50:00,0.0
2020-12-29_18:55:00,0.0
2020-12-29_19:00:00,100.4
2020-12-29_19:05:00,97.36
2020-12-29_19:10:00,95.12
2020-12-29_19:15:00,93.6
2020-12-29_19:20:00,92.08
2020-12-29_19:25:00,91.2
2020-12-29_19:30:00,90.64
2020-12-29_19:35:00,90.32
2020-12-29_19:40:00,89.2
2020-12-29_19:45:00,89.12
2020-12-29_19:50:00,89.84
2020-12-29_19:55:00,90.0
2020-12-29_20:00:00,91.12
2020-12-29_20:05:00,89.12
2020-12-29_20:10:00,89.36
2020-12-29_20:15:00,89.76
2020-12-29_20:20:00,89.6
2020-12-29_20:25:00,89.2
2020-12-29_20:30:00,0.0
2020-12-29_20:35:00,0.0
2020-12-29_20:40:00,0.0
2020-12-29_20:45:00,0.0
2020-12-29_20:50:00,0.0
2020-12-29_20:55:00,0.0
2020-12-29_21:00:00,100.16
2020-12-29_21:05:00,98.24
2020-12-29_21:10:00,94.8
2020-12-29_21:15:00,94.88
2020-12-29_21:20:00,93.36
2020-12-29_21:25:00,92.96
2020-12-29_21:30:00,91.84
2020-12-29_21:35:00,92.08
2020-12-29_21:40:00,90.96
