occurtime,power
2021-01-16_15:15:00,3.52
2021-01-16_15:20:00,3.44
2021-01-16_15:25:00,3.44
2021-01-16_15:30:00,3.44
2021-01-16_15:35:00,3.44
2021-01-16_15:40:00,3.44
2021-01-16_15:45:00,3.44
2021-01-16_15:50:00,3.44
2021-01-16_15:55:00,3.44
2021-01-16_16:00:00,3.44
2021-01-16_16:05:00,3.44
2021-01-16_16:10:00,3.44
2021-01-16_16:15:00,3.34
2021-01-16_16:20:00,3.44
2021-01-16_16:25:00,3.44
2021-01-16_16:30:00,12.08
2021-01-16_16:35:00,1860.48
2021-01-16_16:40:00,1853.52
2021-01-16_16:45:00,1846.32
2021-01-16_16:50:00,1854.56
2021-01-16_16:55:00,1885.28
2021-01-16_17:00:00,59.76
2021-01-16_17:05:00,57.92
2021-01-16_17:10:00,6.08
2021-01-16_17:15:00,73.28
2021-01-16_17:20:00,19.84
2021-01-16_17:25:00,171.6
2021-01-16_17:30:00,64.0
2021-01-16_17:35:00,3.44
2021-01-16_17:40:00,3.41
2021-01-16_17:45:00,3.44
2021-01-16_17:50:00,3.6
2021-01-16_17:55:00,3.44
2021-01-16_18:00:00,3.44
2021-01-16_18:05:00,3.44
2021-01-16_18:10:00,3.31
2021-01-16_18:15:00,3.39
2021-01-16_18:20:00,3.36
2021-01-16_18:25:00,3.39
2021-01-16_18:30:00,3.41
2021-01-16_18:35:00,3.41
2021-01-16_18:40:00,3.44
2021-01-16_18:45:00,3.41
2021-01-16_18:50:00,3.42
2021-01-16_18:55:00,3.44
2021-01-16_19:00:00,3.44
2021-01-16_19:05:00,3.44
2021-01-16_19:10:00,3.37
2021-01-16_19:15:00,3.44
2021-01-16_19:20:00,3.44
2021-01-16_19:25:00,3.42
2021-01-16_19:30:00,3.52
2021-01-16_19:35:00,3.44
2021-01-16_19:40:00,3.44
2021-01-16_19:45:00,3.44
2021-01-16_19:50:00,3.4
2021-01-16_19:55:00,3.52
2021-01-16_20:00:00,3.42
2021-01-16_20:05:00,3.4
2021-01-16_20:10:00,3.39
2021-01-16_20:15:00,3.44
2021-01-16_20:20:00,3.44
2021-01-16_20:25:00,3.42
2021-01-16_20:30:00,3.44
2021-01-16_20:35:00,3.44
2021-01-16_20:40:00,3.38
2021-01-16_20:45:00,3.44
2021-01-16_20:50:00,3.44
2021-01-16_20:55:00,3.37
2021-01-16_21:00:00,3.44
2021-01-16_21:05:00,3.36
2021-01-16_21:10:00,3.52
2021-01-16_21:15:00,3.44
2021-01-16_21:20:00,3.44
2021-01-16_21:25:00,3.44
2021-01-16_21:30:00,3.07
2021-01-16_21:35:00,3.44
2021-01-16_21:40:00,3.44
2021-01-16_21:45:00,3.44
2021-01-16_21:50:00,3.36
2021-01-16_21:55:00,3.41
2021-01-16_22:00:00,3.11
2021-01-16_22:05:00,3.38
2021-01-16_22:10:00,3.6
2021-01-16_22:15:00,3.4
2021-01-16_22:20:00,3.42
2021-01-16_22:25:00,3.44
2021-01-16_22:30:00,3.44
2021-01-16_22:35:00,3.4
2021-01-16_22:40:00,3.38
2021-01-16_22:45:00,3.35
2021-01-16_22:50:00,3.36
2021-01-16_22:55:00,3.37
2021-01-16_23:00:00,3.09
2021-01-16_23:05:00,3.4
2021-01-16_23:10:00,3.23
2021-01-16_23:15:00,3.34
2021-01-16_23:20:00,3.39
2021-01-16_23:25:00,3.34
2021-01-16_23:30:00,3.27
2021-01-16_23:35:00,3.31
2021-01-16_23:40:00,15.52
2021-01-16_23:45:00,19.68
2021-01-16_23:50:00,184.24
