occurtime,power
2020-12-11_05:25:00,0.0
2020-12-11_05:30:00,0.0
2020-12-11_05:35:00,0.0
2020-12-11_05:40:00,0.0
2020-12-11_05:45:00,128.4
2020-12-11_05:50:00,125.6
2020-12-11_05:55:00,124.96
2020-12-11_06:00:00,120.56
2020-12-11_06:05:00,120.64
2020-12-11_06:15:00,0.0
2020-12-11_06:20:00,0.0
2020-12-11_06:25:00,129.04
2020-12-11_06:30:00,123.84
2020-12-11_06:35:00,120.8
2020-12-11_06:40:00,119.76
2020-12-11_06:45:00,0.0
2020-12-11_06:50:00,0.0
2020-12-11_06:55:00,0.0
2020-12-11_07:00:00,0.0
2020-12-11_07:05:00,123.92
2020-12-11_07:10:00,120.4
2020-12-11_07:15:00,118.48
2020-12-11_07:20:00,0.0
2020-12-11_07:25:00,0.0
2020-12-11_07:30:00,0.0
2020-12-11_07:35:00,0.0
2020-12-11_07:40:00,127.04
2020-12-11_07:45:00,122.08
2020-12-11_07:50:00,119.04
2020-12-11_07:55:00,117.04
2020-12-11_08:05:00,0.0
2020-12-11_08:10:00,0.0
2020-12-11_08:15:00,127.12
2020-12-11_08:20:00,122.64
2020-12-11_12:20:00,132.56
2020-12-11_12:25:00,128.56
2020-12-11_12:30:00,125.28
2020-12-11_12:35:00,0.0
2020-12-11_12:40:00,0.0
2020-12-11_12:45:00,0.0
2020-12-11_12:50:00,0.0
2020-12-11_12:55:00,134.16
2020-12-11_13:00:00,129.2
2020-12-11_13:05:00,127.92
2020-12-11_13:10:00,0.0
2020-12-11_13:15:00,0.0
2020-12-11_13:20:00,0.0
2020-12-11_13:25:00,0.0
2020-12-11_13:30:00,132.56
2020-12-11_13:35:00,129.68
2020-12-11_13:40:00,125.68
2020-12-11_13:45:00,124.72
2020-12-11_13:50:00,0.0
2020-12-11_13:55:00,0.0
2020-12-11_14:00:00,0.0
2020-12-11_14:05:00,142.32
2020-12-11_14:10:00,130.0
2020-12-11_14:15:00,127.44
2020-12-11_14:20:00,125.2
2020-12-11_14:25:00,0.0
2020-12-11_14:30:00,0.0
2020-12-11_14:35:00,0.0
2020-12-11_14:40:00,0.0
2020-12-11_14:45:00,130.08
2020-12-11_14:50:00,124.72
2020-12-11_14:55:00,123.36
2020-12-11_15:00:00,0.0
2020-12-11_15:05:00,0.0
2020-12-11_15:10:00,0.0
2020-12-11_15:15:00,0.0
2020-12-11_15:20:00,127.44
2020-12-11_15:25:00,124.4
2020-12-11_15:30:00,123.36
2020-12-11_15:35:00,0.0
2020-12-11_15:40:00,0.0
2020-12-11_15:45:00,0.0
2020-12-11_15:50:00,0.0
2020-12-11_15:55:00,127.04
2020-12-11_16:00:00,123.92
2020-12-11_16:05:00,120.96
2020-12-11_16:10:00,0.0
2020-12-11_16:15:00,0.0
2020-12-11_16:20:00,0.0
2020-12-11_16:25:00,0.0
2020-12-11_16:30:00,129.36
2020-12-11_16:35:00,123.68
2020-12-11_16:40:00,122.08
2020-12-11_16:45:00,0.0
2020-12-11_16:50:00,0.0
2020-12-11_16:55:00,0.0
2020-12-11_17:00:00,0.0
2020-12-11_17:05:00,124.96
2020-12-11_17:10:00,121.84
2020-12-11_17:15:00,121.2
2020-12-11_17:20:00,0.0
2020-12-11_17:25:00,0.0
2020-12-11_17:30:00,0.0
2020-12-11_17:35:00,147.76
2020-12-11_17:40:00,124.8
2020-12-11_17:45:00,122.24
2020-12-11_17:50:00,120.8
2020-12-11_17:55:00,0.0
2020-12-11_18:00:00,0.0
2020-12-11_18:05:00,0.0
2020-12-11_18:10:00,0.0
2020-12-11_18:15:00,125.28
2020-12-11_18:20:00,121.92
2020-12-11_18:25:00,120.56
2020-12-11_18:30:00,0.0
2020-12-11_18:35:00,0.0
2020-12-11_18:40:00,0.0
2020-12-11_18:45:00,0.0
2020-12-11_18:50:00,129.6
2020-12-11_18:55:00,129.12
2020-12-11_19:00:00,126.64
2020-12-11_19:05:00,125.2
2020-12-11_19:10:00,122.48
2020-12-11_19:15:00,0.0
2020-12-11_19:20:00,0.0
2020-12-11_19:25:00,0.0
2020-12-11_19:30:00,136.16
2020-12-11_19:35:00,126.08
2020-12-11_19:40:00,122.88
2020-12-11_19:45:00,120.4
2020-12-11_19:50:00,0.0
2020-12-11_19:55:00,0.0
2020-12-11_20:00:00,0.0
2020-12-11_20:05:00,0.0
2020-12-11_20:10:00,128.8
